CURROPER,CONTROL,DEBT_MDN,PCTFLOAN,GRAD_DEBT_MDN,PCIP11,PCIP15,PCIP14,PCIP27,CIP11BACHL,CIP15BACHL,CIP14BACHL,CIP27BACHL,PCTPELL,Clusters,clusters
1,2,13136.5,0.5183,22625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328,5,4
1,3,9499.0,0.473,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714,2,2
1,3,14094.0,0.6294,18363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4808,2,2
1,3,20000.0,0.3922,33718.5,0.0509,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3861,2,0
1,3,6406.0,0.7555,9083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8056,2,2
1,1,5513.0,0.1244,10926.0,0.0506,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.3145,0,3
1,1,14250.0,0.4818,23000.0,0.0229,0.0353,0.0229,0.0092,2.0,2.0,2.0,2.0,0.4027,3,1
1,1,12500.0,0.6322,12820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0,3
1,3,9545.0,0.9474,16500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9605,2,2
1,2,9500.0,0.817,38125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7107,5,4
1,3,6333.0,1.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2
1,3,5500.0,0.9231,6333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9231,2,2
1,2,12000.0,0.6867,25000.0,0.0083,0.0,0.0,0.0833,1.0,0.0,0.0,1.0,0.4617,4,0
1,3,9812.0,0.6798,12619.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6629,2,2
1,3,6800.0,0.6056,7400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7746,2,2
1,1,14990.0,0.4084,21524.0,0.0057,0.0,0.0929,0.0069,2.0,2.0,2.0,2.0,0.2427,3,1
1,1,13698.5,0.7276,27954.5,0.0279,0.066,0.0,0.0051,1.0,1.0,0.0,1.0,0.6986,4,0
1,1,5250.0,0.1337,6750.0,0.0,0.0612,0.0,0.0,0.0,0.0,0.0,0.0,0.3155,0,3
1,1,13300.0,0.5289,20959.0,0.0147,0.0112,0.0348,0.004,2.0,2.0,2.0,2.0,0.4618,3,1
1,1,10043.0,0.4734,17528.0,0.0191,0.0191,0.026,0.0026,2.0,2.0,2.0,2.0,0.4559,3,1
1,1,8250.0,0.5956,15418.5,0.0,0.0826,0.0,0.0026,1.0,1.0,0.0,1.0,0.6473,4,0
1,3,9500.0,0.679,9900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679,2,2
1,2,11862.5,0.8846,14750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978,5,4
1,1,7698.0,0.4177,10559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6406,0,3
1,1,11864.0,0.492,21617.0,0.0125,0.0,0.0,0.0049,1.0,0.0,0.0,1.0,0.3937,4,0
1,2,10828.0,0.5745,20501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4531,5,4
1,1,9833.0,0.0,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3819,0,3
1,2,7848.0,0.5524,13350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4429,5,4
1,1,9833.0,0.0,14144.0,0.0,0.0178,0.0,0.0,0.0,0.0,0.0,0.0,0.7814,0,3
1,1,2250.0,0.0628,3197.0,0.0028,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.416,0,3
1,3,3848.5,0.9182,3888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8886,2,2
1,3,9833.0,0.6721,12500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097,2,2
1,1,10500.0,0.3935,18477.0,0.0269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6033,0,3
1,1,7900.0,0.49,9350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6327,0,3
1,2,19801.5,0.5573,26250.0,0.0333,0.0,0.0321,0.0048,2.0,0.0,2.0,2.0,0.2631,3,1
1,1,10443.0,0.5985,20191.0,0.0123,0.0,0.0,0.0225,1.0,0.0,1.0,1.0,0.5296,4,0
1,2,19500.0,0.4487,24924.0,0.0191,0.0,0.0,0.0191,1.0,0.0,0.0,1.0,0.1792,4,0
1,3,4000.0,0.2877,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5616,2,2
1,2,15521.0,0.6134,16246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6471,5,4
1,2,17900.0,0.5333,22500.0,0.0,0.0,0.0385,0.0043,0.0,2.0,2.0,2.0,0.3184,3,0
1,3,9833.0,0.4865,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6486,2,2
1,3,6365.0,0.5332,9855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4813,2,2
0,3,9833.0,0.0,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583,2,2
1,3,6333.0,0.619,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6746,2,2
1,1,9833.0,0.0,14144.0,0.0688,0.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.5818,0,3
1,1,3619.0,0.0,3062.5,0.0,0.0412,0.0,0.0,0.0,0.0,0.0,0.0,0.5018,0,3
1,3,9833.0,0.5854,4786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9634,2,2
1,3,9500.0,0.3978,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6129,2,2
1,1,9312.0,0.2661,11500.0,0.0467,0.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.6147,0,3
1,1,9833.0,0.0,14144.0,0.1232,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.2137,0,3
1,2,15000.0,0.5033,23500.0,0.0034,0.0,0.0034,0.0102,1.0,0.0,1.0,1.0,0.2702,4,0
1,1,6804.0,0.199,9250.0,0.051,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.3697,0,3
1,1,9500.0,0.4618,12750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7091,0,3
1,2,12349.5,0.4826,24000.0,0.0,0.0,0.0,0.0571,0.0,0.0,0.0,1.0,0.3906,5,4
1,1,5500.0,0.4113,9500.0,0.0111,0.2907,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0,3
1,2,19000.0,0.8784,31000.0,0.0476,0.0,0.0,0.0476,1.0,0.0,0.0,1.0,0.7282,4,0
1,1,4500.0,0.0354,14144.0,0.0062,0.0432,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0,3
